Weeks;Max-Income-100%;75%;50%
1;175686;176737;177876
2;171180;173361;175625
3;166674;169985;173375
4;162168;166609;171124
5;157662;163233;168874
6;153157;159857;166623
7;148651;156481;164372
8;144145;153105;162122
9;139639;149730;159871
10;135133;146354;157621
11;130627;142978;155370
12;126121;139602;153119
13;121616;136226;150869
14;117110;132850;148618
15;112604;129474;146368
16;108098;126098;144117
17;103592;122722;141866
18;99086;119346;139616
19;94581;115971;137365
20;90075;112595;135115
21;85569;109219;132864
22;81063;105843;130613
23;76557;102467;128363
24;72051;99091;126112
25;67545;95715;123862
26;63040;92339;121611